tool,file,line,severity
bandit,backend/app/core/config.py,109,LOW
bandit,backend/app/models/api_models.py,15,LOW
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/main.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/routes/transactions.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/routes/wallets.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/api/routes/wallets.py,8,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,4,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,107,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,108,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,116,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,117,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,117,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,144,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,144,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,160,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/crud.py,160,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/models/db_models.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/models/db_models.py,84,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/models/transaction_models.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/models/wallet_models.py,3,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/models/wallet_models.py,18,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,2,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,6,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,6,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,6,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_transactions.py,7,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_wallets.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_wallets.py,2,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_wallets.py,6,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/conftest.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/utils/wallet.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/utils/wallet.py,1,error
radon_cc,backend/app/email_utils.py,23,B
