file,function,line,complexity,rank,type
backend/app/email_utils.py,send_email,23,6,B,function
backend/app/email_utils.py,verify_password_reset_token,64,2,A,function
backend/app/email_utils.py,generate_password_reset_token,51,1,A,function
backend/app/backend_pre_start.py,init,24,2,A,function
backend/app/backend_pre_start.py,main,35,1,A,function
backend/app/initial_data.py,init,13,1,A,function
backend/app/initial_data.py,main,19,1,A,function
backend/app/constants.py,Currency,33,1,A,class
backend/app/constants.py,TransactionType,44,1,A,class
backend/app/tests_pre_start.py,init,24,2,A,function
backend/app/tests_pre_start.py,main,35,1,A,function
backend/app/main.py,custom_generate_unique_id,11,1,A,function
backend/app/email_templates.py,render_email_template,19,1,A,function
backend/app/email_templates.py,generate_test_email,27,1,A,function
backend/app/email_templates.py,generate_reset_password_email,38,1,A,function
backend/app/email_templates.py,generate_new_account_email,56,1,A,function
backend/app/email_templates.py,EmailData,12,1,A,class
backend/app/crud.py,authenticate,43,3,A,function
backend/app/crud.py,update_user,23,2,A,function
backend/app/crud.py,create_user,11,1,A,function
backend/app/crud.py,get_user_by_email,37,1,A,function
backend/app/crud.py,create_item,53,1,A,function
backend/app/core/db.py,init_db,17,2,A,function
backend/app/core/config.py,parse_cors,20,5,A,function
backend/app/core/config.py,Settings,29,3,A,class
backend/app/core/config.py,_check_default_secret,108,3,A,method
backend/app/core/config.py,all_cors_origins,83,2,A,method
backend/app/core/config.py,emails_enabled,104,2,A,method
backend/app/core/config.py,SQLALCHEMY_DATABASE_URI,91,1,A,method
backend/app/core/config.py,_enforce_non_default_secrets,120,1,A,method
backend/app/core/security.py,create_access_token,17,1,A,function
backend/app/core/security.py,verify_password,24,1,A,function
backend/app/core/security.py,get_password_hash,29,1,A,function
backend/app/tests/conftest.py,db,16,1,A,function
backend/app/tests/conftest.py,client,28,1,A,function
backend/app/tests/conftest.py,superuser_token_headers,34,1,A,function
backend/app/tests/conftest.py,normal_user_token_headers,39,1,A,function
backend/app/tests/utils/user.py,authentication_token_from_email,31,2,A,function
backend/app/tests/utils/user.py,user_authentication_headers,10,1,A,function
backend/app/tests/utils/user.py,create_random_user,24,1,A,function
backend/app/tests/utils/test_helpers.py,random_lower_string,10,1,A,function
backend/app/tests/utils/test_helpers.py,random_email,14,1,A,function
backend/app/tests/utils/test_helpers.py,get_superuser_token_headers,18,1,A,function
backend/app/tests/utils/item.py,create_random_item,9,2,A,function
backend/app/tests/scripts/test_backend_pre_start.py,test_init_successful_connection,8,4,A,function
backend/app/tests/scripts/test_test_pre_start.py,test_init_successful_connection,8,4,A,function
backend/app/tests/crud/test_user.py,test_update_user,79,5,A,function
backend/app/tests/crud/test_user.py,test_get_user,68,4,A,function
backend/app/tests/crud/test_user.py,test_create_user,10,3,A,function
backend/app/tests/crud/test_user.py,test_authenticate_user,19,3,A,function
backend/app/tests/crud/test_user.py,test_not_authenticate_user,29,2,A,function
backend/app/tests/crud/test_user.py,test_check_if_user_is_active,36,2,A,function
backend/app/tests/crud/test_user.py,test_check_if_user_is_active_inactive,44,2,A,function
backend/app/tests/crud/test_user.py,test_check_if_user_is_superuser,52,2,A,function
backend/app/tests/crud/test_user.py,test_check_if_user_is_superuser_normal_user,60,2,A,function
backend/app/tests/api/routes/test_login.py,test_get_access_token,31,4,A,function
backend/app/tests/api/routes/test_login.py,test_reset_password,94,4,A,function
backend/app/tests/api/routes/test_login.py,test_reset_password_invalid_token,115,4,A,function
backend/app/tests/api/routes/test_login.py,test_use_access_token,52,3,A,function
backend/app/tests/api/routes/test_login.py,test_recovery_password,65,3,A,function
backend/app/tests/api/routes/test_login.py,test_get_access_token_incorrect_password,43,2,A,function
backend/app/tests/api/routes/test_login.py,test_recovery_password_user_not_exits,82,2,A,function
backend/app/tests/api/routes/test_login.py,_create_test_user_with_credentials,16,1,A,function
backend/app/tests/api/routes/test_items.py,test_create_item,23,6,B,function
backend/app/tests/api/routes/test_items.py,test_read_item,41,6,B,function
backend/app/tests/api/routes/test_items.py,test_update_item,103,6,B,function
backend/app/tests/api/routes/test_items.py,test_read_item_not_found,59,3,A,function
backend/app/tests/api/routes/test_items.py,test_read_item_not_enough_permissions,72,3,A,function
backend/app/tests/api/routes/test_items.py,test_read_items,87,3,A,function
backend/app/tests/api/routes/test_items.py,test_update_item_not_found,126,3,A,function
backend/app/tests/api/routes/test_items.py,test_update_item_not_enough_permissions,144,3,A,function
backend/app/tests/api/routes/test_items.py,test_delete_item,164,3,A,function
backend/app/tests/api/routes/test_items.py,test_delete_item_not_found,179,3,A,function
backend/app/tests/api/routes/test_items.py,test_delete_item_not_enough_permissions,192,3,A,function
backend/app/tests/api/routes/test_items.py,_create_test_item,18,1,A,function
backend/app/tests/api/routes/test_users.py,test_register_user,357,8,B,function
backend/app/tests/api/routes/test_users.py,test_update_user_me,232,7,B,function
backend/app/tests/api/routes/test_users.py,test_get_users_superuser_me,72,5,A,function
backend/app/tests/api/routes/test_users.py,test_get_users_normal_user_me,87,5,A,function
backend/app/tests/api/routes/test_users.py,test_retrieve_users,212,5,A,function
backend/app/tests/api/routes/test_users.py,test_update_password_me,257,5,A,function
backend/app/tests/api/routes/test_users.py,test_update_user,401,5,A,function
backend/app/tests/api/routes/test_users.py,test_create_user_new_email,102,4,A,function
backend/app/tests/api/routes/test_users.py,test_get_existing_user,129,4,A,function
backend/app/tests/api/routes/test_users.py,test_get_existing_user_current_user,146,4,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_me,461,4,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_super_user,495,4,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_current_super_user_error,524,4,A,function
backend/app/tests/api/routes/test_users.py,create_user_in_db,30,3,A,function
backend/app/tests/api/routes/test_users.py,test_get_existing_user_permissions_error,162,3,A,function
backend/app/tests/api/routes/test_users.py,test_create_user_existing_username,176,3,A,function
backend/app/tests/api/routes/test_users.py,test_update_password_me_incorrect_password,303,3,A,function
backend/app/tests/api/routes/test_users.py,test_update_user_me_email_exists,319,3,A,function
backend/app/tests/api/routes/test_users.py,test_update_password_me_same_password_error,336,3,A,function
backend/app/tests/api/routes/test_users.py,test_register_user_already_exists_error,382,3,A,function
backend/app/tests/api/routes/test_users.py,test_update_user_not_exists,426,3,A,function
backend/app/tests/api/routes/test_users.py,test_update_user_email_exists,443,3,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_me_as_superuser,479,3,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_not_found,512,3,A,function
backend/app/tests/api/routes/test_users.py,test_delete_user_without_privileges,544,3,A,function
backend/app/tests/api/routes/test_users.py,test_create_user_by_normal_user,197,2,A,function
backend/app/tests/api/routes/test_users.py,_revert_superuser_password,285,2,A,function
backend/app/tests/api/routes/test_users.py,create_test_user_data,22,1,A,function
backend/app/tests/api/routes/test_users.py,authenticate_user,44,1,A,function
backend/app/tests/api/routes/test_private.py,test_create_user,9,5,A,function
