Tool,Total Issues (A excl),Files Analyzed,Issues per File,implementation,display_name
bandit,2,2,1.0,claude_code_with_tuning,Claude Code (Tuned)
ruff,1,1,1.0,claude_code_with_tuning,Claude Code (Tuned)
mypy,0,0,0.0,claude_code_with_tuning,Claude Code (Tuned)
radon_cc,7,4,1.75,claude_code_with_tuning,Claude Code (Tuned)
radon_mi,0,0,0.0,claude_code_with_tuning,Claude Code (Tuned)
flake8_wps,11,4,2.75,claude_code_with_tuning,Claude Code (Tuned)
vulture,4,3,1.3333333333333333,claude_code_with_tuning,Claude Code (Tuned)
bandit,2,2,1.0,claude_code_no_tuning,Claude Code (Basic)
ruff,2,1,2.0,claude_code_no_tuning,Claude Code (Basic)
mypy,1,1,1.0,claude_code_no_tuning,Claude Code (Basic)
radon_cc,7,4,1.75,claude_code_no_tuning,Claude Code (Basic)
radon_mi,0,0,0.0,claude_code_no_tuning,Claude Code (Basic)
flake8_wps,15,2,7.5,claude_code_no_tuning,Claude Code (Basic)
vulture,8,3,2.6666666666666665,claude_code_no_tuning,Claude Code (Basic)
bandit,2,2,1.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
ruff,32,5,6.4,copilot_gpt_with_tuning,Copilot GPT (Tuned)
mypy,0,0,0.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
radon_cc,7,4,1.75,copilot_gpt_with_tuning,Copilot GPT (Tuned)
radon_mi,0,0,0.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
flake8_wps,3,2,1.5,copilot_gpt_with_tuning,Copilot GPT (Tuned)
vulture,7,4,1.75,copilot_gpt_with_tuning,Copilot GPT (Tuned)
bandit,2,2,1.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
ruff,15,5,3.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
mypy,1,1,1.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
radon_cc,9,5,1.8,copilot_gpt_no_tuning,Copilot GPT (Basic)
radon_mi,0,0,0.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
flake8_wps,19,4,4.75,copilot_gpt_no_tuning,Copilot GPT (Basic)
vulture,7,3,2.3333333333333335,copilot_gpt_no_tuning,Copilot GPT (Basic)
bandit,2,2,1.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
ruff,12,8,1.5,copilot_claude_with_tuning,Copilot Claude (Tuned)
mypy,0,0,0.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
radon_cc,6,3,2.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
radon_mi,0,0,0.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
flake8_wps,11,4,2.75,copilot_claude_with_tuning,Copilot Claude (Tuned)
vulture,6,4,1.5,copilot_claude_with_tuning,Copilot Claude (Tuned)
bandit,2,2,1.0,copilot_claude_no_tuning,Copilot Claude (Basic)
ruff,32,11,2.909090909090909,copilot_claude_no_tuning,Copilot Claude (Basic)
mypy,0,0,0.0,copilot_claude_no_tuning,Copilot Claude (Basic)
radon_cc,8,5,1.6,copilot_claude_no_tuning,Copilot Claude (Basic)
radon_mi,0,0,0.0,copilot_claude_no_tuning,Copilot Claude (Basic)
flake8_wps,27,9,3.0,copilot_claude_no_tuning,Copilot Claude (Basic)
vulture,8,6,1.3333333333333333,copilot_claude_no_tuning,Copilot Claude (Basic)
