tool,file,line,severity
bandit,backend/app/core/config.py,111,LOW
bandit,backend/app/models.py,23,LOW
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/tests/api/routes/test_wallets.py,12,error
mypy,backend/app/models.py,208,error
mypy,backend/app/models.py,289,error
mypy,backend/app/tests/api/routes/test_wallets.py,13,error
mypy,backend/app/tests/api/routes/test_wallets.py,20,error
radon_cc,backend/app/email_utils.py,37,B
radon_cc,backend/app/tests/api/routes/test_items.py,27,B
radon_cc,backend/app/tests/api/routes/test_items.py,45,B
radon_cc,backend/app/tests/api/routes/test_items.py,107,B
radon_cc,backend/app/tests/api/routes/test_users.py,357,B
radon_cc,backend/app/tests/api/routes/test_users.py,232,B
flake8_wps,backend/app/api/routes/users.py,0,warning
flake8_wps,backend/app/crud.py,0,warning
flake8_wps,backend/app/crud.py,10,warning
flake8_wps,backend/app/crud.py,25,warning
flake8_wps,backend/app/crud.py,28,warning
flake8_wps,backend/app/crud.py,31,warning
flake8_wps,backend/app/crud.py,125,warning
flake8_wps,backend/app/email_utils.py,0,warning
flake8_wps,backend/app/models.py,0,warning
flake8_wps,backend/app/models.py,166,warning
flake8_wps,backend/app/models.py,180,warning
flake8_wps,backend/app/models.py,200,warning
flake8_wps,backend/app/models.py,220,warning
flake8_wps,backend/app/models.py,230,warning
flake8_wps,backend/app/models.py,248,warning
flake8_wps,backend/app/models.py,265,warning
flake8_wps,backend/app/models.py,272,warning
flake8_wps,backend/app/models.py,281,warning
flake8_wps,backend/app/tests/api/routes/test_wallets.py,33,warning
